Day,Date,Team A,Team B,TA player 1,TA player 2,TA player 3,TA player 4,TA player 5,TA player 6,TA player 7,TA player 8,TA player 9,TA player 10,TA player 11,TB player 1,TB player 2,TB player 3,TB player 4,TB player 5,TB player 6,TB player 7,TB player 8,TB player 9,TB player 10,TB player 11
5,10/08/2017,saint-etienne,angers,167628,159147,199895,220172,231685,192722,199170,230144,198836,193476,212350,199574,184873,184190,199313,190579,178160,226789,209781,219792,224069,221740
5,10/08/2017,lyon,guingamp,199482,189681,139860,180334,207707,232192,216594,227234,221639,202556,207948,190120,210394,167936,234930,204338,178051,192673,49488,134779,228093,193953
5,10/08/2017,marseille,rennes,163705,208520,183280,198076,52091,224030,177388,210896,190502,203280,204970,200332,177481,219789,231361,239575,206167,190674,214097,194845,235353,218970
6,15/08/2017,toulouse,bordeaux,231691,231633,231235,198067,208615,213556,197681,189207,193983,176794,211239,158121,221271,233219,215699,222715,217605,112253,184271,222737,224218,201073
6,16/08/2017,monaco,strasbourg,115533,215792,190547,229712,201042,209499,210372,216393,212692,167397,181820,224442,183766,235552,223284,47860,197813,220905,235554,197480,230857,236786
6,16/08/2017,dijon,saint-etienne,204240,225934,197937,234730,210434,236639,213030,205257,212613,210722,193226,167628,159147,220172,231685,190868,199170,225085,236817,204612,193476,212350
6,16/08/2017,nantes,caen,201325,216643,207924,203884,226515,232693,199393,209304,210450,208787,204819,5594,179789,181456,227222,163804,240802,184706,230042,208017,188397,210534
6,16/08/2017,guingamp,lille,190120,210394,234930,239210,204338,190014,213725,178051,134779,228093,193953,215698,198949,220337,210520,236723,236480,211382,206436,234128,226110,216433
6,16/08/2017,troyes,montpellier,190195,231098,201523,181559,208449,175462,206506,163796,216237,233550,212428,200726,223597,226166,200677,202562,153260,225126,163699,223570,192242,231041
6,17/08/2017,amiens,marseille,176994,157585,186567,234624,234514,204886,186197,220245,214949,203128,211321,107298,163083,183280,208520,219681,177388,205632,185221,227236,204970,212273
6,17/08/2017,angers,metz,199574,190579,184873,184190,199313,226789,209781,178160,219792,224069,213839,219793,178111,229236,203581,225859,215379,112365,183820,221250,183982,211099
6,17/08/2017,rennes,nice,200332,177481,219789,231361,224196,190674,206167,168293,214097,194845,235353,221130,158625,215703,193470,150590,225199,216451,230020,206467,186627,216388
6,17/08/2017,paris-sg,lyon,193105,146530,201510,164240,225850,210008,202166,49370,190871,231747,179813,199482,180334,216266,139860,228618,227234,216594,235569,221639,202556,207948
7,22/08/2017,nice,angers,221130,158625,193470,150590,192725,198861,225199,230020,206467,186627,216388,199574,190579,184873,184190,189946,229041,212449,213388,178160,226789,224069
7,22/08/2017,lille,monaco,215698,220337,210520,225945,236480,211382,206436,239894,234128,226110,216433,115533,229712,190547,227873,215792,209499,162347,210372,212692,167397,181820
7,23/08/2017,montpellier,paris-sg,200726,163665,223597,200677,202562,153260,225126,163699,223570,192242,231041,193105,164240,202371,183512,207865,210008,202166,199556,49370,231747,179813
7,23/08/2017,bordeaux,guingamp,158121,215699,233219,221271,222715,217605,184271,112253,222737,224218,201073,190120,167936,239210,210394,204338,178051,190014,49488,134779,228093,193953
7,23/08/2017,lyon,dijon,199482,180334,216266,139860,228618,216594,227234,234906,235569,221639,207948,204240,210434,197937,225934,234730,236639,213030,211927,198817,205257,193226
7,23/08/2017,caen,amiens,5594,222926,179789,181456,227222,240802,163804,199195,208017,188397,190659,176994,138704,186567,202672,234514,204886,186197,220245,214949,203128,211321
7,23/08/2017,metz,troyes,219793,178111,229236,203581,225859,215379,112365,183820,221250,183982,211099,190195,181559,231098,208449,208862,201523,216237,206506,233550,220029,212428
7,24/08/2017,saint-etienne,rennes,167628,159147,220172,197688,231685,190868,225085,230144,204612,193476,212350,200332,177481,231361,224196,219789,206167,190674,214097,235353,194845,218970
7,24/08/2017,strasbourg,nantes,224442,204105,183766,47860,235552,197813,235042,200966,220905,235554,230857,201325,216643,207924,230074,232693,226515,199393,210450,208787,204819,190716
7,24/08/2017,marseille,toulouse,163705,163083,183280,208520,219681,177388,205632,185221,227236,212273,204970,231691,231633,231235,198067,208615,213556,189207,197681,167933,176794,211239
8,29/08/2017,monaco,montpellier,192593,190547,215792,201042,227873,213565,209499,216393,212692,167397,181820,200726,200677,163665,223597,202562,153260,225126,163699,192242,227667,231041
8,30/08/2017,paris-sg,bordeaux,193105,207865,183512,225850,202371,210008,202166,199556,190871,231747,179813,158121,215699,221271,233219,222715,217605,112253,184271,222737,224218,201073
8,30/08/2017,nantes,metz,201325,216643,203884,219693,207924,210450,208787,223874,190516,204819,190716,180739,178111,215379,203581,225859,157392,183820,221250,112365,183982,211099
8,30/08/2017,rennes,caen,200332,177481,231361,239575,219789,224196,190674,168293,214097,218970,194845,5594,222926,179789,181456,227222,240802,163804,230042,188397,208017,190659
